1053528;Komputery stacjonarne PC;2329;HP ProDesk 400 G2 Intel Core i3-4160 4GB 500GB W7/8Pro;http://f01.esfr.pl/foto/7/9447846457/2bad9f94406c7735e90abdfbc78b50fc/hp-prodesk-400-g2-i3-4160-4gb-500gb-w7-8pro,9447846457_7.jpg;71217;Procesor:Intel® Core i3 4160:0 | System operacyjny:Windows 7/Windows 8.1 Professional:1 | Karta graficzna:Intel® HD Graphics 4400:2 | Pamięć RAM:4 GB:3 | Pojemność dysku:500 GB:4 | 
1053535;Komputery stacjonarne PC;2769.00;Lenovo ThinkCentre M83 SFF i7-4770 4GB 500GB W7/8.1Pro;http://f01.esfr.pl/foto/3/9448423887/57b9bb809d4b294fccd80596cd426b42/lenovo-thinkcentre-m83-sff-i7-4770-4gb-500gb-w7-8-1pro,9448423887_7.jpg;21190;Procesor:Intel Core i7 4770:0 | System operacyjny:Windows 7 Professional/Windows 8.1 Pro:1 | Karta graficzna:Intel® HD Graphics 4600:2 | Pamięć RAM:4 GB:3 | Pojemność dysku:500 GB:4 | 
1053536;Komputery stacjonarne PC;4770.00;Lenovo ThinkCentre M83  i7-4790 4x4GB 1TB SSHD W7/8.1Pro;http://f00.esfr.pl/foto/3/9448510957/48b04e4fd5cc1b98e6bcea86900338bb/lenovo-thinkcentre-m83-i7-4790-4x4gb-1tb-sshd-w7-8-1pro,9448510957_7.jpg;13119;Procesor:Intel Core i7 4790:0 | System operacyjny:Windows 7 Professional/Windows 8.1 Pro:1 | Karta graficzna:Intel® HD Graphics 4600:2 | Pamięć RAM:16 GB:3 | Pojemność dysku:1000 GB SSHD:4 | 
1053537;Komputery stacjonarne PC;1559;Optimus Platinum Intel Core i350 Intel Core i3-4160 4GB 1TB;http://f01.esfr.pl/foto/9/9448935747/6bd4a8faf16d769cc4894d73e30ba015/optimus-platinum-i350-i3-4160-4gb-1tb,9448935747_7.jpg;71156;Procesor:Intel® Core i3 4160:0 | System operacyjny:brak systemu:1 | Karta graficzna:Intel® HD Graphics 4400:2 | Pamięć RAM:4 GB:3 | Pojemność dysku:1000 GB:4 | 
1053542;Adaptery i przejściówki;gru.99;Vivanco 35820;http://f01.esfr.pl/foto/9/9473154382/5687e37e2bfe6b2f44679d9c0f67cbc7/vivanco-micro-b-usb-a-otg-0-15m,9473154382_7.jpg;8240;Wtyczka:USB micro:0 | Gniazdo:USB:1 | 
1053543;Ładowarki sieciowe;44.99;Vivanco 31755;http://f01.esfr.pl/foto/7/9450975402/b5374be7f670f956690cd9ef415b8932/vivanco-31755,9450975402_7.jpg;23197;Rodzaj:ładowarka uniwersalna:0 | Rodzaj wtyku, złącza:microUSB:1 | Moc wyjściowa (mA):1000 mA:2 | 
1053545;Głośniki przenośne;199.00;Lenovo BT820;http://f01.esfr.pl/foto/5/13843717834/894794be5ad51b1e20deb42c0d83f216/lenovo-bt820,13843717834_7.jpg;48152;Moc:18 W:0 | Czas pracy do:brak danych:1 | Pasuje do:urządzenia ze złączem 3,5 mm jack, urządzenia z Bluetooth:2 | Zasilanie:bateryjno-sieciowe:3 | 
1053549;Mikro i mini wieże;1499;Onkyo CS-265DAB (biały);http://f01.esfr.pl/foto/4/9473172057/a78f352dba8640080432184d703171e8/onkyo-cs-265dab-bialy,9473172057_7.jpg;13479;Odtwarzacz płyt:CD:0 | Moc znamionowa RMS:2 x 20W:1 | Obsługiwane formaty audio:MP3:2 | Radio:analogowe z pamięcią, cyfrowe:3 | Łączność:Bluetooth, NFC:4 | Złącza:USB, AUX, słuchawkowe:5 | 
1053552;Telewizory;12299;Philips 65PUS9109/12;http://f00.esfr.pl/foto/6/9438165162/7587a9d418d4b3c0af0562ae37fcc3c6/philips-65pus9109-12,9438165162_7.jpg;13074;Ekran:65 cali, 4K UHD, 3840 x 2160:0 | Optymalizacja ruchu:Perfect Motion Rate Ultra 1000 Hz:1 | Funkcje:3D, Android TV, Internet, Wi-Fi, DLNA, USB - multimedia, USB - nagrywanie, TimeShift, sterowanie głosem i gestami, Ambilight, Skype - wbudowana kamera, HDMI x4, USB x3:2 | 
1053553;Mikro i mini wieże;949;Pioneer X-CM32BTD-K (czarny);http://f01.esfr.pl/foto/3/9461940917/b4063cc38d56d037331842a995ccad4a/pioneer-x-cm32bt-d-czarny,9461940917_7.jpg;4081;Odtwarzacz płyt:CD:0 | Moc znamionowa RMS:2 x 15 W:1 | Obsługiwane formaty audio:MP3, WMA:2 | Radio:analogowe z pamięcią, cyfrowe:3 | Łączność:Bluetooth:4 | Złącza:USB, AUX, słuchawkowe:5 | 
