1055957;Piekarniki do zabudowy;2849;Bosch CMG633BB1;http://f00.esfr.pl/foto/2/9665943402/d517b7bcaefc34fd8b9f7d476315497c/bosch-cmg633bb1,9665943402_7.jpg;9928;Wymiary (bez el. wystaj.) SxWxG:59,5 x 45,5 x 54,8 cm:0 | Kolor frontu:czarny:1 | Pojemność:45 litrów:2 | Wykonanie piekarnika:szkło i emalia:3 | Sterowanie:elektroniczne - dotykowe (sensorowe) na froncie piekarnika:4 | ;
1055993;Gry PC;158.99;The Elder Scrolls Online: Tamriel Unlimited;http://f00.esfr.pl/foto/8/9660770077/6b526be2dc69402a7b38fdb0442316a3/bethesda-software-the-elder-scrolls-online-tamriel-unlimited-pc,9660770077_7.jpg;21868;Platforma:komputer PC:0 | Gatunek gry:MMO:1 | Przedział wiekowy (PEGI):16+:2 | Wersja językowa:angielska:3 | Data premiery:9.06.2015:4 | ;
1055994;Gry PlayStation 4;179;The Elder Scrolls Online: Tamriel Unlimited;http://f00.esfr.pl/foto/2/9645576672/3abe018e3f3deb0eaa6f9a1012ca4d5c/bethesda-software-the-elder-scrolls-online-tamriel-unlimited-ps4,9645576672_7.jpg;13391;Platforma:Playstation 4:0 | Gatunek gry:MMO, RPG:1 | Przedział wiekowy (PEGI):18+:2 | Wersja językowa:angielska:3 | Data premiery:9.06.2015:4 | ;
1055995;Gry Xbox One;229;The Elder Scrolls Online: Tamriel Unlimited;http://f01.esfr.pl/foto/3/9660661412/5683f4c6503d9ddbb6ff92507512458f/bethesda-software-the-elder-scrolls-online-tamriel-unlimited-xone,9660661412_7.jpg;18545;Platforma:Xbox One:0 | Gatunek gry:MMO, RPG:1 | Przedział wiekowy (PEGI):18+:2 | Wersja językowa:angielska:3 | Data premiery:9.06.2015:4 | ;
1055996;Gry PlayStation 4;99;LEGO Jurassic World;http://f00.esfr.pl/foto/5/9660054732/da219a53c4d6da60ec2a523d78df2f11/wb-games-lego-jurassic-world-ps4,9660054732_7.jpg;12291;Platforma:Playstation 4:0 | Gatunek gry:platformowa, zręcznościowa:1 | Przedział wiekowy (PEGI):7+:2 | Wersja językowa:polska (napisy):3 | Data premiery:12.06.2015:4 | ;
1055997;Gry Xbox 360;99;LEGO Jurassic World;http://f01.esfr.pl/foto/8/9660166932/a0080ac5a5354171407c4a3815595633/wb-games-lego-jurassic-world-x360,9660166932_7.jpg;1389;Platforma:Xbox 360:0 | Gatunek gry:zręcznościowa:1 | Przedział wiekowy (PEGI):7+:2 | Wersja językowa:polska (napisy):3 | Data premiery:12.06.2015:4 | ;
1055998;Gry Xbox One;149;LEGO Jurassic World;http://f01.esfr.pl/foto/1/9660076942/a7f7953afc56c711813ff3f55e2abe9b/wb-games-lego-jurassic-world-xone,9660076942_7.jpg;19417;Platforma:Xbox One:0 | Gatunek gry:platformowa, zręcznościowa:1 | Przedział wiekowy (PEGI):7+:2 | Wersja językowa:polska (napisy):3 | Data premiery:12.06.2015:4 | ;
1056000;Gry PlayStation 3;99;LEGO Jurassic World;http://f01.esfr.pl/foto/8/9660000262/4ea5831800cc1919e2b85c399045d504/wb-games-lego-jurassic-world-ps3,9660000262_7.jpg;4015;Platforma:Playstation 3:0 | Gatunek gry:zręcznościowa:1 | Przedział wiekowy (PEGI):7+:2 | Wersja językowa:polska (napisy):3 | Data premiery:12.06.2015:4 | ;
1056001;Gry PC;89;LEGO Jurassic World;http://f00.esfr.pl/foto/2/9660070202/162ef94c67186f66e31a2e1e3c86510b/wb-games-lego-jurassic-world-pc,9660070202_7.jpg;21262;Platforma:komputer PC:0 | Gatunek gry:zręcznościowa:1 | Przedział wiekowy (PEGI):7+:2 | Wersja językowa:polska (napisy):3 | Data premiery:12.06.2015:4 | ;
1056004;Gry PC;0.00;Goat Simulator - GOTY Edition;http://f01.esfr.pl/foto/8/9677485717/c6553ce8414a2d18ee40c7196b9dd12b/coffee-stain-studios-goat-simulator-goty-edition,9677485717_2.jpg;44063;;
1056008;Gry PC;0.00;MotoGP 15;http://f01.esfr.pl/foto/4/9660981567/36b2b79f82c8673ecb446936fd576767/milestone-motogp-15-pc,9660981567_2.jpg;42867;;
1056010;Gry Xbox One;199.99;MotoGP 15;http://f01.esfr.pl/foto/3/9660989177/5aee9396e6712aac95f75a43b55b38c5/milestone-motogp-15-xone,9660989177_2.jpg;41267;;
1056016;Gry PlayStation 4;269;Disney Infinity 3.0 Star Wars - Zestaw Startowy;http://f00.esfr.pl/foto/2/9645353757/9ade91308950a19739d53a1eea8453ea/disney-interactive-disney-infinity-3-0-zestaw-startowy-ps4,9645353757_7.jpg;4211;Platforma:Playstation 4:0 | Gatunek gry:akcja, przygodowa:1 | Przedział wiekowy (PEGI):7+:2 | Wersja językowa:polska (dubbing):3 | Data premiery:27.08.2015:4 | ;
1056017;Gry Xbox One;159;Disney Infinity 3.0 Star Wars - Zestaw Startowy;http://f01.esfr.pl/foto/7/9645390167/e073cb8a6a42f0a9f9ba09ffc2ae832d/disney-interactive-disney-infinity-3-0-star-wars-zestaw-startowy-xone,9645390167_7.jpg;7106;Platforma:Xbox One:0 | Gatunek gry:akcja, przygodowa:1 | Przedział wiekowy (PEGI):7+:2 | Wersja językowa:polska (dubbing):3 | Data premiery:27.08.2015:4 | ;
1056018;Gry PlayStation 3;249;Disney Infinity 3.0 Star Wars - Zestaw Startowy;http://f00.esfr.pl/foto/1/9645377007/b5aa785ae68abe10513d8a0442afdcf/disney-interactive-disney-infinity-3-0-star-wars-zestaw-startowy-ps3,9645377007_7.jpg;8536;Platforma:Playstation 3:0 | Gatunek gry:akcja/przygodowe:1 | Przedział wiekowy (PEGI):7+:2 | Wersja językowa:polska (dubbing):3 | Data premiery:27.08.2015:4 | ;
1056019;Gry Xbox 360;249;Disney Infinity 3.0 Star Wars - Zestaw Startowy;http://f00.esfr.pl/foto/7/9645394462/726f2446fb31bd908d09efb509789182/disney-interactive-disney-infinity-3-0-star-wars-zestaw-startowy-x360,9645394462_7.jpg;3651;Platforma:Xbox 360:0 | Gatunek gry:akcja/przygodowe:1 | Przedział wiekowy (PEGI):7+:2 | Wersja językowa:polska (dubbing):3 | Data premiery:27.08.2015:4 | ;
1056020;Gry PC;69;Might & Magic Heroes VII;http://f00.esfr.pl/foto/2/9645430052/48b534bf0ffb94537bdc5f10cbfc3bd8/ubisoft-heroes-of-might-magic-vii,9645430052_7.jpg;10559;Platforma:komputer PC:0 | Gatunek gry:strategia:1 | Przedział wiekowy (PEGI):12+:2 | Wersja językowa:polska (dubbing):3 | Data premiery:29.09.2015:4 | ;
1056021;Gry PlayStation 4;109;Assassin's Creed Syndicate;http://f01.esfr.pl/foto/6/9645177347/5c3e63293083e066c589d60f1f72fe09/ubisoft-assassin-s-creed-syndicate-ps4,9645177347_7.jpg;5901;Platforma:Playstation 4:0 | Gatunek gry:akcja, przygodowa:1 | Przedział wiekowy (PEGI):18+:2 | Wersja językowa:polska (napisy):3 | Data premiery:23.10.2015:4 | ;
