1056159;Oprogramowanie;149.99;McAfee LiveSafe 12 mc;http://f00.esfr.pl/foto/6/9819866827/f7c1cb3d599078654dea4e01ce34c184/mcafee-livesafe,9819866827_7.jpg;984;Typ oprogramowania:antywirusowe:0 | Kompatybilne systemy operacyjne:Windows, Android, iOS:1 | Wersja językowa:polska:2 | Liczba stanowisk:nieograniczona:3 | ;
1056178;Aparaty z wymienną optyką;2999.00;Fujifilm X-T10 + XC16-50mm OIS II (czarny);http://f00.esfr.pl/foto/6/9615816752/53472a09f1d8c5bfd8991b7005d1aa2d/fujifilm-x-t10-xc16-50mm-ois-ii-czarny-,9615816752_7.jpg;9121;Rozdzielczość:16,3 Mpix:0 | Rodzaj przetwornika:23,6 mm x 15,6 mm (APS-C) X-Trans CMOS II:1 | Obiektyw w zestawie:XC16-50 mm f/3,5-5,6 OIS II:2 | Ogniskowa (dla 35 mm):24 - 76 mm:3 | Kod producenta:16470697:4 | ;
1056179;Aparaty z wymienną optyką;3449;Fujifilm X-T10 + XC16-50mm OIS II (czarno - srebrny);http://f00.esfr.pl/foto/9/9615528777/e16bb7e0d6f2276914755ad2240b2298/fujifilm-x-t10-xc-16-50mm-ois-ii-czarno-srebrny-,9615528777_7.jpg;508;Rozdzielczość:16,3 Mpix:0 | Rodzaj przetwornika:CMOS II  X-Trans 23,6 mm x 15,6 mm:1 | Obiektyw w zestawie:XC16-50 mm f/3,5-5,6 OIS II:2 | Ogniskowa (dla 35 mm):24 - 76 mm:3 | Kod producenta:16471263:4 | ;
1056183;Torby do aparatów i kamer;635;Lowepro Pro Runner BP 350 AW II;http://f01.esfr.pl/foto/1/9716313712/2fd0fa6dfd055736500919b17e24b29/lowepro-pro-runner-bp-350-aw-ii,9716313712_7.jpg;22454;Kolor:czarny:0 | Wymiary wewnętrzne:290 x 395 x 115 mm:1 | Przeznaczenie:lustrzanka, kompakt z wymienną optyką, obiektyw, akcesoria:2 | ;
1056184;Torby do aparatów i kamer;769;Lowepro Pro Runner BP 450 AW II;https://f01.esfr.pl/foto/9/9716325342/15f78af004ad4e45f7a2820bf77a248/lowepro-pro-runner-bp-450-aw-ii,9716325342_7.jpg;21793;Kolor:czarny:0 | Wymiary wewnętrzne:325 x 408 x 160 mm:1 | Przeznaczenie:aparat kompaktowy typu \ultra zoom\, lustrzanka, obiektyw, akcesoria:2 | ;
1056185;Torby do aparatów i kamer;1099;Lowepro Pro Runner RL x450 AW II;http://f00.esfr.pl/foto/1/9716350002/14852e027b4a2c66516d4cc6cdda3c92/lowepro-pro-runner-rl-x450-aw-ii,9716350002_7.jpg;22451;Kolor:czarny:0 | Wymiary wewnętrzne:310 x 433 x 160 mm:1 | Przeznaczenie:aparat kompaktowy typu \ultra zoom\, lustrzanka, obiektyw, akcesoria:2 | ;
1056186;Słuchawki;79.99;Philips ActionFit SHQ3300PK/00;http://f00.esfr.pl/foto/6/9686286842/71f3b4be47f437edd647e9422f7f9427/philips-actionfit-shq3300pk-00,9686286842_7.jpg;18851;Typ słuchawek:douszne Clip-on:0 | Pasmo przenoszenia:6 - 24000 Hz:1 | Dynamika (SPL):107 dB:2 | Długość przewodu:1,2 m:3 | ;
1056187;Słuchawki;89.99;Philips ActionFit SHQ3300LF/00;http://f01.esfr.pl/foto/5/9686257962/3ac606204c447abd0d96bcbe4afcd293/philips-actionfit-shq3300lf-00,9686257962_7.jpg;16135;Typ słuchawek:douszne Clip-on:0 | Pasmo przenoszenia:6 - 24000 Hz:1 | Dynamika (SPL):107 dB:2 | Długość przewodu:1,2 m:3 | ;
1056188;Patelnie;34.99;Bergner BG-1292 26cm;http://f01.esfr.pl/foto/9/9711295232/bbb42608d9129f30a0de0a55123d2262/bergner-bg-1292-26cm,9711295232_7.jpg;116529;Średnica:26 cm:0 | Wskaźnik nagrzania patelni:nie:1 | Możliwość mycia w zmywarce:tak:2 | W zestawie:patelnia 26 cm:3 | Kolor:biały:4 | Powłoka wewnętrzna:ceramiczna:5 | Powłoka zewnętrzna:aluminium:6 | ;
1056190;Głośniki przenośne;669;Creative Sound Blaster Roar;http://f00.esfr.pl/foto/4/9678824872/da1eabcead63a111503fdf26daddab2d/creative-sound-blaster-roar,9678824872_7.jpg;2525;Czas pracy do:8 h:0 | Pasuje do:urządzenia ze złączem 3,5 mm jack, urządzenia z Bluetooth, urządzenia z NFC:1 | Zasilanie:sieciowo-akumulatorowe:2 | ;
